id,symbol,interval,ema_fast,ema_slow,atr_period,sl_atr_mult,tp_atr_mult,risk_pct,fees_bps,trades,wins,win_rate,equity_start,equity_end,pnl_total,return_pct,max_drawdown_pct,score
1,SOLUSDC,15m,20,55,14,1.0,2.0,0.0025,10.0,106,41,38.67924528301887,10000.0,10037.554713245847,37.55471324584687,0.3755471324584647,2.5448448777515678,-0.8968753064173192
2,SOLUSDC,15m,20,55,14,1.0,2.0,0.005,10.0,106,41,38.67924528301887,10000.0,10061.971794993286,61.971794993285584,0.619717949932852,5.045197299445734,-1.902880699790015
3,SOLUSDC,15m,20,55,14,1.0,2.0,0.0075,10.0,106,41,38.67924528301887,10000.0,10073.205599662257,73.20559966225665,0.7320559966225604,7.501126383805653,-3.0185071952802662
4,SOLUSDC,15m,20,55,14,1.0,2.5,0.0025,10.0,82,29,35.36585365853659,10000.0,10137.278235447318,137.27823544731837,1.3727823544731788,2.3374387056734722,0.20406300163644264
5,SOLUSDC,15m,20,55,14,1.0,2.5,0.005,10.0,82,29,35.36585365853659,10000.0,10263.096141733306,263.09614173330556,2.6309614173330553,4.641509241489965,0.3102067965880728
6,SOLUSDC,15m,20,55,14,1.0,2.5,0.0075,10.0,82,29,35.36585365853659,10000.0,10377.071200490842,377.0712004908419,3.7707120049084164,6.9119166271817996,0.3147536913175166
7,SOLUSDC,15m,20,55,14,1.0,3.0,0.0025,10.0,85,28,32.94117647058823,10000.0,10277.156585805898,277.15658580589843,2.7715658580589775,2.2440432102987606,1.6495442529095972
8,SOLUSDC,15m,20,55,14,1.0,3.0,0.005,10.0,85,28,32.94117647058823,10000.0,10544.056870394556,544.0568703945555,5.440568703945559,4.464457614707926,3.2083398965915957
9,SOLUSDC,15m,20,55,14,1.0,3.0,0.0075,10.0,85,28,32.94117647058823,10000.0,10799.686245592537,799.6862455925366,7.996862455925369,6.660397857146972,4.666663527351883
10,SOLUSDC,15m,20,55,14,1.0,3.5,0.0025,10.0,71,21,29.577464788732392,10000.0,10269.085474631924,269.0854746319237,2.6908547463192267,2.4859551181711073,1.447877187233673
11,SOLUSDC,15m,20,55,14,1.0,3.5,0.005,10.0,71,21,29.577464788732392,10000.0,10527.489247952932,527.4892479529317,5.274892479529325,4.916771904779442,2.816506527139604
12,SOLUSDC,15m,20,55,14,1.0,3.5,0.0075,10.0,71,21,29.577464788732392,10000.0,10774.268632655987,774.268632655987,7.742686326559878,7.293524930853038,4.095923861133359
13,SOLUSDC,15m,20,55,14,1.0,4.0,0.0025,10.0,67,18,26.865671641791046,10000.0,10240.583424786937,240.58342478693703,2.405834247869376,2.1992308102986273,1.3062188427200625
14,SOLUSDC,15m,20,55,14,1.0,4.0,0.005,10.0,67,18,26.865671641791046,10000.0,10467.717863771357,467.71786377135686,4.677178637713575,4.355970197171579,2.4991935391277855
