fee,slip,equity
2.5,2.5,7.021641681214568
2.5,5.0,7.021641681214568
2.5,10.0,7.021641681214568
2.5,20.0,7.021641681214568
5.0,2.5,7.021641681214568
5.0,5.0,7.021641681214568
5.0,10.0,7.021641681214568
5.0,20.0,7.021641681214568
10.0,2.5,7.021641681214568
10.0,5.0,7.021641681214568
10.0,10.0,7.021641681214568
10.0,20.0,7.021641681214568
20.0,2.5,7.021641681214568
20.0,5.0,7.021641681214568
20.0,10.0,7.021641681214568
20.0,20.0,7.021641681214568
