w_train,min_bars,equity,bh,ratio
6,800,7.021641681214568,6.2413046685444975,1.1250278674269636
6,900,7.021641681214568,6.2413046685444975,1.1250278674269636
6,950,7.021641681214568,6.2413046685444975,1.1250278674269636
9,800,7.021641681214568,6.2413046685444975,1.1250278674269636
9,900,7.021641681214568,6.2413046685444975,1.1250278674269636
9,950,7.021641681214568,6.2413046685444975,1.1250278674269636
12,800,7.021641681214568,6.2413046685444975,1.1250278674269636
12,900,7.021641681214568,6.2413046685444975,1.1250278674269636
12,950,7.021641681214568,6.2413046685444975,1.1250278674269636
