ym,strat_cum
2021-06-30,0.0
2021-07-31,-0.128336
2021-08-31,2.024132730015083
2021-09-30,0.306561922365989
2021-10-31,0.42940844275024714
2021-11-30,0.014103000534941401
2021-12-31,-0.1918706917043025
2022-01-31,-0.4176763242610477
2022-02-28,0.0
2022-03-31,0.047514000000000056
2022-04-30,-0.3193662538201706
2022-05-31,-0.4612758945386063
2022-06-30,0.0
2022-07-31,0.25929229854296754
2022-08-31,-0.2577756833176248
2022-09-30,0.04856512141280356
2022-10-31,-0.01661129568106301
2022-11-30,-0.5663093415007656
2022-12-31,0.0
2023-01-31,1.404020100502513
2023-02-28,0.0
2023-03-31,-0.03290676416819005
2023-04-30,-0.015471000000000124
2023-05-31,-0.08728070175438596
2023-06-30,-0.09717568214456684
2023-07-31,0.25555555555555576
2023-08-31,0.0
2023-09-30,0.08038422649140542
2023-10-31,0.7952314165497896
2023-11-30,0.0
2023-12-31,0.0
2024-01-31,0.0
2024-02-29,0.019983000000000084
2024-03-31,0.5885907093534211
2024-04-30,0.0
2024-05-31,0.3089687870406954
2024-06-30,-0.11733895243829007
2024-07-31,0.17392493334244885
2024-08-31,-0.21413226499448412
2024-09-30,0.013050000000000006
2024-10-31,0.1060188827694728
2024-11-30,0.40600035505059484
2024-12-31,0.0
2025-01-31,0.21657655766101525
2025-02-28,-0.3634606297521372
2025-03-31,0.0
2025-04-30,0.18601286173633436
2025-05-31,0.0558817574407775
2025-06-30,-0.01029280143204181
2025-07-31,0.11210125274441429
2025-08-31,0.17355952032758126
2025-09-30,0.07164283571642827
