month,train_months,train_rows,p,k,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct
2021-08,12,11788,20,2.6,1.142746,6.01,24,70.83,0.5688
2022-01,12,11790,20,2.0,0.57297,44.3,58,39.66,-0.9233
2022-03,12,11790,20,2.0,1.047918,12.85,51,52.94,0.1008
2022-07,12,11886,20,2.2,0.983593,8.54,48,62.5,0.0536
2025-02,12,2784,20,2.4,0.841745,19.85,36,47.22,-0.4539
