ym,pick,equity_multiple,win_rate_pct,trades,max_drawdown_pct,avg_trade_ret_pct,bh_month_mult
2021-06,BB,1.109661,68.42,38.0,8.21,0.3075,1.0888296078251003
2021-07,BB,0.871664,45.0,40.0,20.47,-0.3299,1.0433893684688778
2021-08,BH,3.024132730015083,0.0,0.0,0.0,0.0,3.024132730015083
2021-09,BH,1.306561922365989,0.0,0.0,0.0,0.0,1.306561922365989
2021-10,BH,1.4294084427502471,0.0,0.0,0.0,0.0,1.4294084427502471
2021-11,BH,1.0141030005349414,0.0,0.0,0.0,0.0,1.0141030005349414
2021-12,BH,0.8081293082956977,0.0,0.0,0.0,0.0,0.8081293082956977
2022-01,BH,0.5823236757389523,0.0,0.0,0.0,0.0,0.5823236757389523
2022-02,EMA,1.0,0.0,0.0,0.0,0.0,0.9958041958041959
2022-03,BB,1.047514,57.89,38.0,9.9,0.1338,1.2212274942803143
2022-04,BH,0.6806337461798294,0.0,0.0,0.0,0.0,0.6806337461798294
2022-05,BH,0.5387241054613937,0.0,0.0,0.0,0.0,0.5387241054613937
2022-06,EMA,1.0,0.0,0.0,0.0,0.0,0.7410008779631254
2022-07,BH,1.2592922985429675,0.0,0.0,0.0,0.0,1.2592922985429675
2022-08,BH,0.7422243166823752,0.0,0.0,0.0,0.0,0.7422243166823752
2022-09,BH,1.0485651214128036,0.0,0.0,0.0,0.0,1.0485651214128036
2022-10,BH,0.983388704318937,0.0,0.0,0.0,0.0,0.983388704318937
2022-11,BH,0.4336906584992343,0.0,0.0,0.0,0.0,0.4336906584992343
2022-12,EMA,1.0,0.0,0.0,0.0,0.0,0.7080965909090909
2023-01,BH,2.404020100502513,0.0,0.0,0.0,0.0,2.404020100502513
2023-02,EMA,1.0,0.0,0.0,0.0,0.0,0.9162829635830891
2023-03,BH,0.96709323583181,0.0,0.0,0.0,0.0,0.96709323583181
2023-04,BB,0.984529,62.5,40.0,7.03,-0.0316,1.0706214689265536
2023-05,BH,0.9127192982456139,0.0,0.0,0.0,0.0,0.9127192982456139
2023-06,BH,0.9028243178554332,0.0,0.0,0.0,0.0,0.9028243178554332
2023-07,BH,1.2555555555555558,0.0,0.0,0.0,0.0,1.2555555555555558
2023-08,EMA,1.0,0.0,0.0,0.0,0.0,0.8315080033698399
2023-09,BH,1.0803842264914054,0.0,0.0,0.0,0.0,1.0803842264914054
2023-10,BH,1.7952314165497896,0.0,0.0,0.0,0.0,1.7952314165497896
2023-11,EMA,1.0,0.0,0.0,0.0,0.0,1.5531691985332634
2023-12,EMA,1.0,0.0,0.0,0.0,0.0,1.72289972899729
2024-01,EMA,1.0,0.0,0.0,0.0,0.0,0.9472450175849941
2024-02,BB,1.019983,60.61,33.0,4.21,0.0644,1.289025641025641
2024-03,BH,1.588590709353421,0.0,0.0,0.0,0.0,1.588590709353421
2024-04,EMA,1.0,0.0,0.0,0.0,0.0,0.6284453698195518
2024-05,BH,1.3089687870406954,0.0,0.0,0.0,0.0,1.3089687870406954
2024-06,BH,0.8826610475617099,0.0,0.0,0.0,0.0,0.8826610475617099
2024-07,BH,1.1739249333424489,0.0,0.0,0.0,0.0,1.1739249333424489
2024-08,BH,0.7858677350055159,0.0,0.0,0.0,0.0,0.7858677350055159
2024-09,BB,1.01305,56.52,46.0,4.76,0.0372,1.1253044055789243
2024-10,BH,1.1060188827694728,0.0,0.0,0.0,0.0,1.1060188827694728
2024-11,BH,1.4060003550505946,0.0,0.0,0.0,0.0,1.4060003550505946
2024-12,EMA,1.0,0.0,0.0,0.0,0.0,0.7935197216749801
2025-01,BH,1.2165765576610152,0.0,0.0,0.0,0.0,1.2165765576610152
2025-02,BH,0.6365393702478629,0.0,0.0,0.0,0.0,0.6365393702478629
2025-03,EMA,1.0,0.0,0.0,0.0,0.0,0.845026462206541
2025-04,BH,1.1860128617363344,0.0,0.0,0.0,0.0,1.1860128617363344
2025-05,BH,1.0558817574407775,0.0,0.0,0.0,0.0,1.0558817574407775
2025-06,BH,0.9897071985679582,0.0,0.0,0.0,0.0,0.9897071985679582
2025-07,BH,1.1121012527444143,0.0,0.0,0.0,0.0,1.1121012527444143
2025-08,BH,1.1735595203275813,0.0,0.0,0.0,0.0,1.1735595203275813
2025-09,BH,1.0716428357164283,0.0,0.0,0.0,0.0,1.0716428357164283
