vol_min,trend_max,months,rows,BB_PERIOD,BB_K,equity_multiple,max_drawdown_pct,trades,win_rate_pct,avg_trade_ret_pct,buyhold_gated_multiple
0.008,0.3,4,11612,16,2.2,0.924024,29.67,206,60.19,0.0213,0.7824083124761798
0.006,0.15,4,11520,16,2.0,0.848351,40.61,250,57.6,-0.0269,1.0716244417210394
0.006,0.15,4,11520,12,3.0,0.817137,19.72,12,41.67,-1.6084,1.0716244417210394
0.006,0.15,4,11520,16,2.6,0.81312,28.39,122,54.1,-0.149,1.0716244417210394
0.006,0.15,4,11520,16,3.0,0.799071,24.25,37,37.84,-0.5817,1.0716244417210394
0.006,0.15,4,11520,16,2.4,0.795233,30.17,161,57.14,-0.0945,1.0716244417210394
0.006,0.15,4,11520,16,2.2,0.779237,36.07,202,58.91,-0.0819,1.0716244417210394
0.006,0.15,4,11520,12,2.4,0.666082,41.44,144,49.31,-0.261,1.0716244417210394
0.006,0.15,4,11520,12,2.0,0.662025,47.83,291,55.33,-0.1073,1.0716244417210394
0.006,0.15,4,11520,12,2.6,0.639746,40.11,87,44.83,-0.4915,1.0716244417210394
0.006,0.15,4,11520,12,2.2,0.601942,51.47,222,51.8,-0.2059,1.0716244417210394
0.008,0.25,2,5856,20,2.4,2.057102,12.45,75,72.0,1.016,0.8413753399148705
0.01,0.25,2,5856,20,2.4,2.057102,12.45,75,72.0,1.016,0.8413753399148705
0.01,0.3,2,5856,20,2.4,2.057102,12.45,75,72.0,1.016,0.8413753399148705
0.008,0.25,2,5856,20,2.2,2.01668,21.68,97,64.95,0.7955,0.8413753399148705
0.01,0.25,2,5856,20,2.2,2.01668,21.68,97,64.95,0.7955,0.8413753399148705
0.01,0.3,2,5856,20,2.2,2.01668,21.68,97,64.95,0.7955,0.8413753399148705
0.008,0.25,2,5856,20,2.6,1.672154,12.45,57,77.19,0.9496,0.8413753399148705
0.01,0.25,2,5856,20,2.6,1.672154,12.45,57,77.19,0.9496,0.8413753399148705
0.01,0.3,2,5856,20,2.6,1.672154,12.45,57,77.19,0.9496,0.8413753399148705
0.008,0.25,2,5856,20,2.0,1.51318,29.44,116,62.93,0.4253,0.8413753399148705
0.01,0.25,2,5856,20,2.0,1.51318,29.44,116,62.93,0.4253,0.8413753399148705
0.01,0.3,2,5856,20,2.0,1.51318,29.44,116,62.93,0.4253,0.8413753399148705
0.008,0.25,2,5856,16,2.6,1.35995,15.58,57,66.67,0.6093,0.8413753399148705
0.01,0.25,2,5856,16,2.6,1.35995,15.58,57,66.67,0.6093,0.8413753399148705
0.01,0.3,2,5856,16,2.6,1.35995,15.58,57,66.67,0.6093,0.8413753399148705
0.008,0.25,2,5856,12,2.0,1.28046,30.72,147,60.54,0.2246,0.8413753399148705
0.01,0.25,2,5856,12,2.0,1.28046,30.72,147,60.54,0.2246,0.8413753399148705
0.01,0.3,2,5856,12,2.0,1.28046,30.72,147,60.54,0.2246,0.8413753399148705
0.008,0.25,2,5856,16,2.0,1.241085,30.89,132,61.36,0.2225,0.8413753399148705
0.01,0.25,2,5856,16,2.0,1.241085,30.89,132,61.36,0.2225,0.8413753399148705
0.01,0.3,2,5856,16,2.0,1.241085,30.89,132,61.36,0.2225,0.8413753399148705
0.008,0.25,2,5856,12,2.6,1.235624,19.14,30,56.67,0.8259,0.8413753399148705
0.01,0.25,2,5856,12,2.6,1.235624,19.14,30,56.67,0.8259,0.8413753399148705
0.01,0.3,2,5856,12,2.6,1.235624,19.14,30,56.67,0.8259,0.8413753399148705
0.008,0.25,2,5856,16,2.2,1.230753,29.67,106,64.15,0.2687,0.8413753399148705
0.01,0.25,2,5856,16,2.2,1.230753,29.67,106,64.15,0.2687,0.8413753399148705
0.01,0.3,2,5856,16,2.2,1.230753,29.67,106,64.15,0.2687,0.8413753399148705
0.008,0.25,2,5856,16,2.4,1.224572,20.18,77,67.53,0.3163,0.8413753399148705
0.01,0.25,2,5856,16,2.4,1.224572,20.18,77,67.53,0.3163,0.8413753399148705
0.01,0.3,2,5856,16,2.4,1.224572,20.18,77,67.53,0.3163,0.8413753399148705
0.008,0.25,2,5856,20,3.0,1.209446,6.42,18,88.89,1.0959,0.8413753399148705
0.01,0.25,2,5856,20,3.0,1.209446,6.42,18,88.89,1.0959,0.8413753399148705
0.01,0.3,2,5856,20,3.0,1.209446,6.42,18,88.89,1.0959,0.8413753399148705
0.008,0.25,2,5856,16,3.0,1.123359,10.01,9,66.67,1.4128,0.8413753399148705
0.01,0.25,2,5856,16,3.0,1.123359,10.01,9,66.67,1.4128,0.8413753399148705
0.01,0.3,2,5856,16,3.0,1.123359,10.01,9,66.67,1.4128,0.8413753399148705
0.008,0.25,2,5856,12,2.4,0.984045,20.98,69,59.42,0.0189,0.8413753399148705
0.01,0.25,2,5856,12,2.4,0.984045,20.98,69,59.42,0.0189,0.8413753399148705
0.01,0.3,2,5856,12,2.4,0.984045,20.98,69,59.42,0.0189,0.8413753399148705
0.008,0.25,2,5856,12,3.0,0.911559,10.44,2,50.0,-4.3289,0.8413753399148705
0.01,0.25,2,5856,12,3.0,0.911559,10.44,2,50.0,-4.3289,0.8413753399148705
0.01,0.3,2,5856,12,3.0,0.911559,10.44,2,50.0,-4.3289,0.8413753399148705
0.008,0.25,2,5856,12,2.2,0.905917,31.34,107,57.94,-0.043,0.8413753399148705
0.01,0.25,2,5856,12,2.2,0.905917,31.34,107,57.94,-0.043,0.8413753399148705
0.01,0.3,2,5856,12,2.2,0.905917,31.34,107,57.94,-0.043,0.8413753399148705
0.008,0.15,1,2880,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
0.008,0.2,1,2880,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
0.01,0.15,1,2880,20,2.0,1.501558,7.76,58,68.97,0.7368,1.0888296078251003
