fee_bps,slip_bps,equity_multiple,max_drawdown_pct,trades,win_rate_pct
0.0,0.0,1.489839,20.57,199,54.77
5.0,5.0,-0.0,187.02,199,0.0
7.0,5.0,-0.0,189.99,199,0.0
12.5,12.5,-0.0,198.17,199,0.0
