entry_mode,vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,atr_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
either,0.8,20,200,1.8,1.6,2.0,3.0,2,11,2,9,18.182,0.893667
either,0.8,50,100,1.6,1.4,1.5,2.0,1,20,7,13,35.0,0.897274
either,0.8,50,100,1.6,1.4,1.5,2.0,2,19,7,12,36.842,0.901326
either,0.8,50,100,1.6,1.4,1.5,3.0,1,20,7,13,35.0,0.909854
either,0.8,50,100,1.6,1.4,1.5,3.0,2,19,7,12,36.842,0.904532
either,0.8,50,100,1.6,1.4,2.0,2.0,1,18,7,11,38.889,0.901492
either,0.8,50,100,1.6,1.4,2.0,2.0,2,16,6,10,37.5,0.895775
either,0.8,50,100,1.6,1.4,2.0,3.0,1,18,7,11,38.889,0.914131
either,0.8,50,100,1.6,1.4,2.0,3.0,2,16,6,10,37.5,0.898961
either,0.8,50,100,1.6,1.6,1.5,2.0,1,20,7,13,35.0,0.897274
either,0.8,50,100,1.6,1.6,1.5,2.0,2,18,7,11,38.889,0.924267
either,0.8,50,100,1.6,1.6,1.5,3.0,1,20,7,13,35.0,0.909854
either,0.8,50,100,1.6,1.6,1.5,3.0,2,18,7,11,38.889,0.927555
either,0.8,50,100,1.6,1.6,2.0,2.0,1,18,7,11,38.889,0.901492
either,0.8,50,100,1.6,1.6,2.0,2.0,2,15,6,9,40.0,0.916662
either,0.8,50,100,1.6,1.6,2.0,3.0,1,18,7,11,38.889,0.914131
either,0.8,50,100,1.6,1.6,2.0,3.0,2,15,6,9,40.0,0.919923
either,0.8,50,100,1.8,1.4,1.5,2.0,1,19,6,13,31.579,0.895845
either,0.8,50,100,1.8,1.4,1.5,2.0,2,17,6,11,35.294,0.924744
either,0.8,50,100,1.8,1.4,1.5,3.0,1,18,6,12,33.333,0.897888
either,0.8,50,100,1.8,1.4,1.5,3.0,2,16,6,10,37.5,0.926853
either,0.8,50,100,1.8,1.4,2.0,2.0,1,18,7,11,38.889,0.906832
either,0.8,50,100,1.8,1.4,2.0,2.0,2,15,6,9,40.0,0.924039
either,0.8,50,100,1.8,1.4,2.0,3.0,1,17,7,10,41.176,0.911055
either,0.8,50,100,1.8,1.4,2.0,3.0,2,15,6,9,40.0,0.927326
either,0.8,50,100,1.8,1.6,1.5,2.0,1,19,6,13,31.579,0.902266
either,0.8,50,100,1.8,1.6,1.5,2.0,2,17,6,11,35.294,0.931371
either,0.8,50,100,1.8,1.6,1.5,3.0,1,18,6,12,33.333,0.890185
either,0.8,50,100,1.8,1.6,1.5,3.0,2,16,6,10,37.5,0.918902
either,0.8,50,100,1.8,1.6,2.0,2.0,1,18,7,11,38.889,0.913331
either,0.8,50,100,1.8,1.6,2.0,2.0,2,15,6,9,40.0,0.930662
either,0.8,50,100,1.8,1.6,2.0,3.0,1,17,7,10,41.176,0.903239
either,0.8,50,100,1.8,1.6,2.0,3.0,2,15,6,9,40.0,0.91937
either,0.8,50,200,1.6,1.4,1.5,2.0,1,16,3,13,18.75,0.864387
either,0.8,50,200,1.6,1.4,1.5,2.0,2,16,3,13,18.75,0.861117
either,0.8,50,200,1.6,1.4,1.5,3.0,1,16,3,13,18.75,0.864387
either,0.8,50,200,1.6,1.4,1.5,3.0,2,16,3,13,18.75,0.861117
either,0.8,50,200,1.6,1.4,2.0,2.0,1,14,3,11,21.429,0.86845
either,0.8,50,200,1.6,1.4,2.0,2.0,2,13,2,11,15.385,0.854835
either,0.8,50,200,1.6,1.4,2.0,3.0,1,14,3,11,21.429,0.86845
either,0.8,50,200,1.6,1.4,2.0,3.0,2,13,2,11,15.385,0.854835
either,0.8,50,200,1.6,1.6,1.5,2.0,1,16,3,13,18.75,0.864387
either,0.8,50,200,1.6,1.6,1.5,2.0,2,15,3,12,20.0,0.878145
either,0.8,50,200,1.6,1.6,1.5,3.0,1,16,3,13,18.75,0.864387
either,0.8,50,200,1.6,1.6,1.5,3.0,2,15,3,12,20.0,0.878145
either,0.8,50,200,1.6,1.6,2.0,2.0,1,14,3,11,21.429,0.86845
either,0.8,50,200,1.6,1.6,2.0,2.0,2,12,2,10,16.667,0.869923
either,0.8,50,200,1.6,1.6,2.0,3.0,1,14,3,11,21.429,0.86845
either,0.8,50,200,1.6,1.6,2.0,3.0,2,12,2,10,16.667,0.869923
either,0.8,50,200,1.8,1.4,1.5,2.0,1,14,2,12,14.286,0.87291
either,0.8,50,200,1.8,1.4,1.5,2.0,2,13,2,11,15.385,0.886804
either,0.8,50,200,1.8,1.4,1.5,3.0,1,13,2,11,15.385,0.8718
