BB_K,BB_PERIOD,COOLDOWN,EMA_TREND_N,REQUIRE_TREND,VOL_MULT,atr_period,atr_stop_mult,atr_tp_mult,avg_trade_ret_pct,bars,bb_k,bb_period,ema_trend_n,end_ts,equity_multiple,fee_bps_per_side,interval,losses,max_drawdown_pct,note,open_position_ret_pct,require_trend,rsi_buy_max,rsi_period,rsi_sell_min,slip_bps_per_side,start_ts,symbol,trades,vol_ma_n,vol_mult,win_rate_pct,wins,year
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.5317,13680,2.2,20,200,1609458300000,0.313276,12.5,15m,107,73.08,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,1597125600000,SOLUSDT,194,20,0.85,44.85,87,2020
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.3395,34975,2.2,20,200,1640994300000,0.097511,12.5,15m,290,90.25,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,1609459200000,SOLUSDT,563,20,0.85,48.49,273,2021
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4591,35040,2.2,20,200,1672530300000,0.047384,12.5,15m,323,95.61,LIMIT clamped to 1000 on Binance public API,,0,60.0,14,60.0,12.5,1640995200000,SOLUSDT,614,20,0.85,47.39,291,2022
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.5353,35035,2.2,20,200,1704066300000,0.047687,12.5,15m,302,95.81,LIMIT clamped to 1000 on Binance public API,0.4891,0,60.0,14,60.0,12.5,1672531200000,SOLUSDT,545,20,0.85,44.59,243,2023
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.4633,35136,2.2,20,200,1735688700000,0.050554,12.5,15m,326,94.97,LIMIT clamped to 1000 on Binance public API,-0.4988,0,60.0,14,60.0,12.5,1704067200000,SOLUSDT,616,20,0.85,47.08,290,2024
2.4,20,2,100,1,1.0,14,1.5,2.0,-0.6282,24167,2.2,20,200,1757439000000,0.082318,12.5,15m,230,91.81,LIMIT clamped to 1000 on Binance public API,0.099,0,60.0,14,60.0,12.5,1735689600000,SOLUSDT,386,20,0.85,40.41,156,2025
