time,side,mode,entry,exit,gross_pct,net_pct,reason
2025-08-20 14:44:59.999000+00:00,long,RG,178.85,181.63,0.015543751747274293,0.013543751747274292,tp
2025-08-20 17:44:59.999000+00:00,short,RG,184.54,185.86,-0.00710211987517495,-0.00910211987517495,trail
2025-08-20 23:44:59.999000+00:00,short,RG,187.59,187.63,-0.00021318552470284136,-0.0022131855247028414,trail
2025-08-21 01:59:59.999000+00:00,short,RG,188.23,189.09,-0.004548098788936583,-0.006548098788936583,trail
2025-08-21 03:14:59.999000+00:00,long,RG,185.91,189.1,0.017158840299069444,0.015158840299069444,tp
2025-08-21 11:59:59.999000+00:00,long,RG,184.61,184.03,-0.0031417583012838257,-0.005141758301283826,trail
2025-08-21 14:29:59.999000+00:00,short,RG,185.42,186.3,-0.004723564143854109,-0.006723564143854109,trail
2025-08-21 19:44:59.999000+00:00,long,RG,181.65,180.23,-0.007817230938618303,-0.009817230938618303,trail
2025-08-22 00:29:59.999000+00:00,long,RG,179.99,181.38,0.0077226512584032125,0.0057226512584032125,tp
2025-08-22 01:44:59.999000+00:00,long,RG,180.24,181.92,0.009320905459387463,0.007320905459387463,tp
2025-08-22 05:14:59.999000+00:00,short,RG,182.88,183.31,-0.002345753095848613,-0.004345753095848613,trail
2025-08-22 07:29:59.999000+00:00,short,RG,183.78,183.95,-0.0009241641750474816,-0.0029241641750474816,trail
2025-08-22 09:14:59.999000+00:00,short,RG,184.66,183.25,0.00769440654843101,0.00569440654843101,tp
2025-08-22 11:14:59.999000+00:00,long,RG,181.27,180.36,-0.005020135709163154,-0.007020135709163154,stop
2025-08-22 12:14:59.999000+00:00,long,RG,180.14,178.63,-0.00838236926834679,-0.01038236926834679,stop
2025-08-22 13:44:59.999000+00:00,long,RG,178.28,180.33,0.011498765986089454,0.009498765986089454,tp
2025-08-22 15:14:59.999000+00:00,short,RG,190.48,192.93,-0.012698906339086768,-0.014698906339086769,stop
