t,entry,exit,net_pct,runner
2025-08-21 07:14:59.999000+00:00,188.11,186.44,-1.0878,0
2025-08-21 15:14:59.999000+00:00,185.45,182.92,-1.5642,1
2025-08-23 21:29:59.999000+00:00,202.9,203.27,-0.0176,1
2025-08-24 06:59:59.999000+00:00,204.39,207.37,1.258,1
2025-08-24 14:44:59.999000+00:00,205.48,205.11,-0.3801,0
2025-08-25 04:14:59.999000+00:00,207.73,207.51,-0.3059,1
