ym,pick,equity_multiple,win_rate_pct,trades,max_drawdown_pct,avg_trade_ret_pct,bh_month_mult,strat_cum,bh_cum
2024-10,BH,1.1060188827694728,0.0,0.0,0.0,0.0,1.1060188827694728,3.7202968018266587,4.93158217879775
2024-11,BH,1.4060003550505946,0.0,0.0,0.0,0.0,1.4060003550505946,5.230738624261874,6.933806294350821
2024-12,EMA,1.0,0.0,0.0,0.0,0.0,0.7935197216749801,5.230738624261874,5.502112040841488
2025-01,BH,1.2165765576610152,0.0,0.0,0.0,0.0,1.2165765576610152,6.363593989529025,6.693740526512161
2025-02,BH,0.6365393702478629,0.0,0.0,0.0,0.0,0.6365393702478629,4.05067811060789,4.260829379348649
2025-03,EMA,1.0,0.0,0.0,0.0,0.0,0.845026462206541,4.05067811060789,3.6005135764966805
2025-04,BH,1.1860128617363344,0.0,0.0,0.0,0.0,1.1860128617363344,4.804156337934792,4.270255410581353
2025-05,BH,1.0558817574407775,0.0,0.0,0.0,0.0,1.0558817574407775,5.072621037118838,4.508884787645627
2025-06,BH,0.9897071985679582,0.0,0.0,0.0,0.0,0.9897071985679582,5.020409556043775,4.462475731846436
2025-07,BH,1.1121012527444143,0.0,0.0,0.0,0.0,1.1121012527444143,5.583203756566311,4.962724851727969
2025-08,BH,1.1735595203275813,0.0,0.0,0.0,0.0,1.1735595203275813,6.55222192244711,5.824052996511642
2025-09,BH,1.0716428357164283,0.0,0.0,0.0,0.0,1.0716428357164283,7.021641681214568,6.2413046685444975
