BB_COOLDOWN_BARS,BB_K,BB_PERIOD,EMA_TREND_N,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
0,2.4,12,100,1,60,65,20,0.75,-0.4298,run_backtest,0.231523,171,78.56,316,45.89,145
0,2.2,20,100,1,60,65,20,1.0,-0.4821,run_backtest,0.226242,157,78.96,289,45.67,132
0,2.4,12,200,1,60,60,20,1.0,-0.3392,run_backtest,0.223368,204,78.98,400,49.0,196
0,2.2,20,100,1,55,65,20,1.0,-0.4956,run_backtest,0.223075,156,79.26,284,45.07,128
2,2.2,20,100,1,60,65,20,1.0,-0.5181,run_backtest,0.221241,152,79.43,274,44.53,122
0,2.4,12,200,1,55,60,20,1.0,-0.3493,run_backtest,0.220613,201,79.19,392,48.72,191
2,2.2,20,100,1,55,65,20,1.0,-0.533,run_backtest,0.218143,151,79.71,269,43.87,118
2,2.4,20,200,1,60,60,20,0.75,-0.2821,run_backtest,0.19832,257,85.88,508,49.41,251
2,2.4,20,200,1,55,60,20,0.75,-0.2845,run_backtest,0.198154,256,85.86,504,49.21,248
2,2.2,20,200,1,60,60,20,1.0,-0.3008,run_backtest,0.183711,251,82.71,499,49.7,248
2,2.2,20,200,1,55,60,20,1.0,-0.305,run_backtest,0.182716,250,82.76,494,49.39,244
2,2.4,20,200,1,60,65,20,0.75,-0.3,run_backtest,0.182516,264,87.58,503,47.51,239
2,2.4,20,200,1,55,65,20,0.75,-0.3044,run_backtest,0.180791,263,87.56,499,47.29,236
2,2.4,14,100,1,60,60,20,0.75,-0.4672,run_backtest,0.179379,175,83.05,346,49.42,171
2,2.4,14,100,1,60,65,20,0.75,-0.4682,run_backtest,0.177647,182,83.27,346,47.4,164
2,2.4,14,100,1,55,65,20,0.75,-0.4829,run_backtest,0.17643,180,83.39,337,46.59,157
2,2.4,14,100,1,55,60,20,0.75,-0.4855,run_backtest,0.175908,173,83.38,337,48.66,164
2,2.2,12,100,1,60,60,20,1.0,-0.4423,run_backtest,0.161949,198,85.13,386,48.7,188
0,2.4,14,100,1,60,60,20,0.75,-0.4875,run_backtest,0.157094,184,85.16,358,48.6,174
2,2.2,20,200,1,60,65,20,1.0,-0.3353,run_backtest,0.156483,259,85.87,494,47.57,235
0,2.0,20,100,1,55,60,20,1.0,-0.4364,run_backtest,0.156291,214,85.47,398,46.23,184
2,2.2,12,100,1,55,60,20,1.0,-0.4704,run_backtest,0.156021,193,85.68,371,47.98,178
0,2.4,14,100,1,60,65,20,0.75,-0.4885,run_backtest,0.155577,191,85.35,358,46.65,167
0,2.4,14,100,1,55,65,20,0.75,-0.5033,run_backtest,0.154511,189,85.45,349,45.85,160
2,2.2,20,200,1,55,65,20,1.0,-0.3416,run_backtest,0.154292,258,85.91,489,47.24,231
0,2.4,14,100,1,55,60,20,0.75,-0.5057,run_backtest,0.154054,182,85.44,349,47.85,167
2,2.0,20,100,1,55,60,20,1.0,-0.4648,run_backtest,0.153059,207,85.77,379,45.38,172
0,2.0,20,100,1,60,60,20,1.0,-0.4332,run_backtest,0.152172,217,85.85,407,46.68,190
0,2.2,12,100,1,60,60,20,1.0,-0.4478,run_backtest,0.151175,204,86.12,396,48.48,192
0,2.0,20,100,1,55,65,20,1.0,-0.4443,run_backtest,0.150731,221,86.33,398,44.47,177
0,2.2,12,100,1,55,60,20,1.0,-0.4698,run_backtest,0.149532,198,86.27,380,47.89,182
2,2.0,20,100,1,60,60,20,1.0,-0.4608,run_backtest,0.149026,210,86.15,388,45.88,178
0,2.4,20,200,1,60,60,20,0.75,-0.3086,run_backtest,0.148138,280,88.46,554,49.46,274
0,2.4,20,200,1,55,60,20,0.75,-0.311,run_backtest,0.148015,279,88.44,550,49.27,271
0,2.0,20,100,1,60,65,20,1.0,-0.4403,run_backtest,0.147109,225,86.65,407,44.72,182
2,2.0,20,100,1,55,65,20,1.0,-0.4746,run_backtest,0.146843,214,86.35,379,43.54,165
2,2.4,14,200,1,60,65,20,1.0,-0.4205,run_backtest,0.143921,219,87.11,424,48.35,205
2,2.4,14,200,1,55,65,20,1.0,-0.4293,run_backtest,0.143611,217,87.14,416,47.84,199
2,2.0,20,100,1,60,65,20,1.0,-0.4697,run_backtest,0.143315,218,86.68,388,43.81,170
2,2.4,12,200,1,55,60,20,0.75,-0.3721,run_backtest,0.141069,253,87.85,484,47.73,231
0,2.2,20,200,1,60,60,20,1.0,-0.319,run_backtest,0.140577,278,86.44,549,49.36,271
0,2.2,20,200,1,55,60,20,1.0,-0.3229,run_backtest,0.139816,277,86.51,544,49.08,267
2,2.4,12,200,1,60,60,20,0.75,-0.3671,run_backtest,0.139306,258,88.04,494,47.77,236
2,2.2,12,100,1,60,65,20,1.0,-0.4807,run_backtest,0.138907,206,87.33,386,46.63,180
2,2.4,14,200,1,60,60,20,1.0,-0.4336,run_backtest,0.136811,217,87.29,424,48.82,207
0,2.4,20,200,1,60,65,20,0.75,-0.3252,run_backtest,0.136249,287,89.86,549,47.72,262
2,2.4,12,200,1,55,65,20,0.75,-0.3807,run_backtest,0.1359,259,87.78,481,46.15,222
0,2.4,20,200,1,55,65,20,0.75,-0.3293,run_backtest,0.134961,286,89.84,545,47.52,259
2,2.4,14,200,1,55,60,20,1.0,-0.4465,run_backtest,0.134261,215,87.53,416,48.32,201
2,2.2,12,100,1,55,65,20,1.0,-0.5115,run_backtest,0.133446,202,87.82,371,45.55,169
0,2.2,12,100,1,60,65,20,1.0,-0.4852,run_backtest,0.129665,212,88.17,396,46.46,184
2,2.4,12,200,1,60,65,20,0.75,-0.3825,run_backtest,0.12952,264,88.49,491,46.23,227
0,2.4,14,200,1,60,65,20,1.0,-0.4213,run_backtest,0.128695,234,88.48,447,47.65,213
0,2.4,14,200,1,55,65,20,1.0,-0.4297,run_backtest,0.128417,232,88.5,439,47.15,207
2,2.2,14,100,1,60,60,20,1.0,-0.5173,run_backtest,0.128409,196,88.22,375,47.73,179
0,2.2,14,100,1,60,60,20,1.0,-0.5037,run_backtest,0.128126,201,88.24,385,47.79,184
0,2.2,12,100,1,55,65,20,1.0,-0.5099,run_backtest,0.127895,207,88.33,380,45.53,173
2,2.2,14,100,1,55,60,20,1.0,-0.5527,run_backtest,0.122243,192,88.78,360,46.67,168
0,2.2,14,100,1,55,60,20,1.0,-0.5376,run_backtest,0.121973,197,88.8,370,46.76,173
0,2.2,20,200,1,60,65,20,1.0,-0.3511,run_backtest,0.119292,287,88.92,544,47.24,257
0,2.4,14,200,1,60,60,20,1.0,-0.4405,run_backtest,0.118794,232,88.96,447,48.1,215
0,2.2,20,200,1,55,65,20,1.0,-0.357,run_backtest,0.117622,286,88.95,539,46.94,253
0,2.4,14,200,1,55,60,20,1.0,-0.4529,run_backtest,0.116579,230,89.17,439,47.61,209
0,2.2,14,100,1,60,65,20,1.0,-0.5396,run_backtest,0.111569,211,90.23,384,45.05,173
2,2.2,14,100,1,60,65,20,1.0,-0.5551,run_backtest,0.111485,206,90.24,374,44.92,168
0,2.2,14,100,1,55,65,20,1.0,-0.5759,run_backtest,0.106037,207,90.51,369,43.9,162
2,2.2,14,100,1,55,65,20,1.0,-0.593,run_backtest,0.105957,202,90.52,359,43.73,157
0,2.2,20,100,1,55,60,20,0.75,-0.5049,run_backtest,0.103307,230,91.1,426,46.01,196
2,2.2,20,100,1,55,60,20,0.75,-0.533,run_backtest,0.103033,221,91.31,405,45.43,184
0,2.2,20,100,1,60,60,20,0.75,-0.5005,run_backtest,0.10259,231,91.16,431,46.4,200
2,2.2,20,100,1,60,60,20,0.75,-0.5281,run_backtest,0.102317,222,91.37,410,45.85,188
0,2.4,12,200,1,55,60,20,0.75,-0.4192,run_backtest,0.098375,272,90.23,513,46.98,241
0,2.4,12,200,1,60,60,20,0.75,-0.4136,run_backtest,0.097146,277,90.38,523,47.04,246
2,1.8,20,100,1,55,60,20,1.0,-0.4736,run_backtest,0.095229,260,91.28,468,44.44,208
2,1.8,20,100,1,55,65,20,1.0,-0.4742,run_backtest,0.094731,271,91.33,467,41.97,196
0,2.4,12,200,1,55,65,20,0.75,-0.4347,run_backtest,0.090901,279,90.91,511,45.4,232
2,1.8,20,100,1,60,60,20,1.0,-0.4711,run_backtest,0.088224,269,91.66,486,44.65,217
0,2.2,20,100,1,60,65,20,0.75,-0.5386,run_backtest,0.088098,242,92.59,428,43.46,186
0,2.2,20,100,1,55,65,20,0.75,-0.5455,run_backtest,0.087949,241,92.61,423,43.03,182
0,1.8,20,100,1,55,65,20,1.0,-0.4674,run_backtest,0.087344,282,92.0,490,42.45,208
0,1.8,20,100,1,55,60,20,1.0,-0.4686,run_backtest,0.087056,271,92.03,491,44.81,220
0,2.4,12,200,1,60,65,20,0.75,-0.4354,run_backtest,0.086634,284,91.34,521,45.49,237
2,2.2,20,100,1,60,65,20,0.75,-0.5763,run_backtest,0.085613,232,92.95,406,42.86,174
2,2.2,20,100,1,55,65,20,0.75,-0.584,run_backtest,0.085469,231,92.96,401,42.39,170
2,1.8,20,100,1,60,65,20,1.0,-0.4799,run_backtest,0.084286,282,92.04,485,41.86,203
0,1.8,20,100,1,60,60,20,1.0,-0.4645,run_backtest,0.081072,280,92.34,510,45.1,230
0,1.8,20,100,1,60,65,20,1.0,-0.4712,run_backtest,0.078118,293,92.62,509,42.44,216
2,2.2,12,200,1,60,60,20,1.0,-0.4275,run_backtest,0.069365,302,93.4,582,48.11,280
2,2.4,14,200,1,60,65,20,0.75,-0.4653,run_backtest,0.068116,285,93.65,539,47.12,254
2,2.4,14,200,1,60,60,20,0.75,-0.4639,run_backtest,0.068069,281,93.65,542,48.15,261
2,2.4,14,200,1,55,65,20,0.75,-0.4728,run_backtest,0.067969,283,93.67,531,46.7,248
