BB_COOLDOWN_BARS,BB_K,EMA_TREND_N,FEE_BPS,REQUIRE_TREND,RSI_BUY_MAX,RSI_SELL_MIN,SLIP_BPS,VOL_MA_N,VOL_MULT,avg_trade_ret_pct,entry_func,equity_multiple,losses,max_drawdown_pct,trades,win_rate_pct,wins
0,2.2,100,12.5,0,60,65,12.5,20,1.0,-0.7001,run_backtest,0.925026,7,8.13,11,36.36,4
2,2.2,200,12.5,0,55,60,12.5,20,0.85,-0.4562,run_backtest,0.95481,6,4.94,10,40.0,4
2,2.2,200,12.5,0,55,65,12.5,20,0.85,-0.4562,run_backtest,0.95481,6,4.94,10,40.0,4
2,2.2,200,12.5,0,60,60,12.5,20,0.85,-0.4562,run_backtest,0.95481,6,4.94,10,40.0,4
2,2.2,200,12.5,0,60,65,12.5,20,0.85,-0.4562,run_backtest,0.95481,6,4.94,10,40.0,4
0,2.4,100,12.5,0,55,60,12.5,20,0.85,-0.4965,run_backtest,0.950626,5,5.8,10,50.0,5
0,2.4,100,12.5,0,55,65,12.5,20,0.85,-0.4965,run_backtest,0.950626,5,5.8,10,50.0,5
0,2.4,100,12.5,0,60,60,12.5,20,0.85,-0.4965,run_backtest,0.950626,5,5.8,10,50.0,5
0,2.4,100,12.5,0,60,65,12.5,20,0.85,-0.4965,run_backtest,0.950626,5,5.8,10,50.0,5
0,2.2,200,12.5,0,55,60,12.5,20,1.0,-0.5861,run_backtest,0.94237,6,6.4,10,40.0,4
0,2.2,200,12.5,0,55,65,12.5,20,1.0,-0.5861,run_backtest,0.94237,6,6.4,10,40.0,4
0,2.2,200,12.5,0,60,60,12.5,20,1.0,-0.5861,run_backtest,0.94237,6,6.4,10,40.0,4
0,2.2,200,12.5,0,60,65,12.5,20,1.0,-0.5861,run_backtest,0.94237,6,6.4,10,40.0,4
0,2.6,200,12.5,0,55,60,12.5,20,0.85,-0.4112,run_backtest,0.962918,4,3.71,9,55.56,5
0,2.6,200,12.5,0,55,65,12.5,20,0.85,-0.4112,run_backtest,0.962918,4,3.71,9,55.56,5
0,2.6,200,12.5,0,60,60,12.5,20,0.85,-0.4112,run_backtest,0.962918,4,3.71,9,55.56,5
0,2.6,200,12.5,0,60,65,12.5,20,0.85,-0.4112,run_backtest,0.962918,4,3.71,9,55.56,5
0,2.6,100,12.5,0,55,60,12.5,20,1.0,-0.5481,run_backtest,0.95122,5,6.28,9,44.44,4
0,2.6,100,12.5,0,55,65,12.5,20,1.0,-0.5481,run_backtest,0.95122,5,6.28,9,44.44,4
0,2.6,100,12.5,0,60,60,12.5,20,1.0,-0.5481,run_backtest,0.95122,5,6.28,9,44.44,4
0,2.6,100,12.5,0,60,65,12.5,20,1.0,-0.5481,run_backtest,0.95122,5,6.28,9,44.44,4
0,2.4,200,12.5,0,55,60,12.5,20,0.85,-0.6539,run_backtest,0.941954,5,5.8,9,44.44,4
0,2.4,200,12.5,0,55,65,12.5,20,0.85,-0.6539,run_backtest,0.941954,5,5.8,9,44.44,4
0,2.4,200,12.5,0,60,60,12.5,20,0.85,-0.6539,run_backtest,0.941954,5,5.8,9,44.44,4
0,2.4,200,12.5,0,60,65,12.5,20,0.85,-0.6539,run_backtest,0.941954,5,5.8,9,44.44,4
2,2.2,100,12.5,0,55,60,12.5,20,1.0,-0.679,run_backtest,0.940062,6,6.63,9,33.33,3
2,2.2,100,12.5,0,55,65,12.5,20,1.0,-0.679,run_backtest,0.940062,6,6.63,9,33.33,3
