vol_x,ema_fast,ema_slow,base_k,ratio_max,adx_thr,stop_mult,trail_TR,tp_TR,trail_RG,tp_RG,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
0.85,20,100,1.8,1.6,18,1.0,2.0,4.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,18,1.0,2.5,3.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,18,1.0,2.5,4.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,18,1.5,2.0,3.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,18,1.5,2.0,4.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,18,1.5,2.5,3.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,18,1.5,2.5,4.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,22,1.0,2.0,3.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,22,1.0,2.0,4.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,22,1.0,2.5,3.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,22,1.0,2.5,4.0,1.5,1.5,1,27,13,14,48.15,0.990124
0.85,20,100,1.8,1.6,22,1.5,2.0,3.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,22,1.5,2.0,4.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,22,1.5,2.5,3.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,100,1.8,1.6,22,1.5,2.5,4.0,1.5,1.5,1,27,13,14,48.15,0.970519
0.85,20,200,1.6,1.4,18,1.0,2.0,3.0,1.5,1.5,1,35,19,16,54.29,1.001705
0.85,20,200,1.6,1.4,18,1.0,2.0,4.0,1.5,1.5,1,35,19,16,54.29,1.001705
0.85,20,200,1.6,1.4,18,1.0,2.5,3.0,1.5,1.5,1,35,19,16,54.29,1.001705
0.85,20,200,1.6,1.4,18,1.0,2.5,4.0,1.5,1.5,1,35,19,16,54.29,1.001705
0.85,20,200,1.6,1.4,18,1.5,2.0,3.0,1.5,1.5,1,34,19,15,55.88,0.993027
0.85,20,200,1.6,1.4,18,1.5,2.0,4.0,1.5,1.5,1,34,19,15,55.88,0.993027
0.85,20,200,1.6,1.4,18,1.5,2.5,3.0,1.5,1.5,1,34,19,15,55.88,0.993027
0.85,20,200,1.6,1.4,18,1.5,2.5,4.0,1.5,1.5,1,34,19,15,55.88,0.993027
0.85,20,200,1.6,1.4,22,1.0,2.0,3.0,1.5,1.5,1,34,18,16,52.94,1.009713
0.85,20,200,1.6,1.4,22,1.0,2.0,4.0,1.5,1.5,1,34,18,16,52.94,1.009713
0.85,20,200,1.6,1.4,22,1.0,2.5,3.0,1.5,1.5,1,34,18,16,52.94,1.009713
0.85,20,200,1.6,1.4,22,1.0,2.5,4.0,1.5,1.5,1,34,18,16,52.94,1.009713
0.85,20,200,1.6,1.4,22,1.5,2.0,3.0,1.5,1.5,1,33,18,15,54.55,1.000965
0.85,20,200,1.6,1.4,22,1.5,2.0,4.0,1.5,1.5,1,33,18,15,54.55,1.000965
0.85,20,200,1.6,1.4,22,1.5,2.5,3.0,1.5,1.5,1,33,18,15,54.55,1.000965
0.85,20,200,1.6,1.4,22,1.5,2.5,4.0,1.5,1.5,1,33,18,15,54.55,1.000965
0.85,20,200,1.6,1.6,18,1.0,2.0,3.0,1.5,1.5,1,35,19,16,54.29,1.007284
0.85,20,200,1.6,1.6,18,1.0,2.0,4.0,1.5,1.5,1,35,19,16,54.29,1.007284
0.85,20,200,1.6,1.6,18,1.0,2.5,3.0,1.5,1.5,1,35,19,16,54.29,1.007284
0.85,20,200,1.6,1.6,18,1.0,2.5,4.0,1.5,1.5,1,35,19,16,54.29,1.007284
0.85,20,200,1.6,1.6,18,1.5,2.0,3.0,1.5,1.5,1,34,19,15,55.88,0.998558
0.85,20,200,1.6,1.6,18,1.5,2.0,4.0,1.5,1.5,1,34,19,15,55.88,0.998558
0.85,20,200,1.6,1.6,18,1.5,2.5,3.0,1.5,1.5,1,34,19,15,55.88,0.998558
0.85,20,200,1.6,1.6,18,1.5,2.5,4.0,1.5,1.5,1,34,19,15,55.88,0.998558
0.85,20,200,1.6,1.6,22,1.0,2.0,3.0,1.5,1.5,1,34,18,16,52.94,1.015336
0.85,20,200,1.6,1.6,22,1.0,2.0,4.0,1.5,1.5,1,34,18,16,52.94,1.015336
0.85,20,200,1.6,1.6,22,1.0,2.5,3.0,1.5,1.5,1,34,18,16,52.94,1.015336
0.85,20,200,1.6,1.6,22,1.0,2.5,4.0,1.5,1.5,1,34,18,16,52.94,1.015336
0.85,20,200,1.6,1.6,22,1.5,2.0,3.0,1.5,1.5,1,33,18,15,54.55,1.00654
0.85,20,200,1.6,1.6,22,1.5,2.0,4.0,1.5,1.5,1,33,18,15,54.55,1.00654
0.85,20,200,1.6,1.6,22,1.5,2.5,3.0,1.5,1.5,1,33,18,15,54.55,1.00654
0.85,20,200,1.6,1.6,22,1.5,2.5,4.0,1.5,1.5,1,33,18,15,54.55,1.00654
0.85,20,200,1.8,1.4,18,1.0,2.0,3.0,1.5,1.5,1,27,12,15,44.44,0.966041
0.85,20,200,1.8,1.4,18,1.0,2.0,4.0,1.5,1.5,1,27,12,15,44.44,0.966041
0.85,20,200,1.8,1.4,18,1.0,2.5,3.0,1.5,1.5,1,27,12,15,44.44,0.966041
0.85,20,200,1.8,1.4,18,1.0,2.5,4.0,1.5,1.5,1,27,12,15,44.44,0.966041
0.85,20,200,1.8,1.4,18,1.5,2.0,3.0,1.5,1.5,1,27,12,15,44.44,0.946913
0.85,20,200,1.8,1.4,18,1.5,2.0,4.0,1.5,1.5,1,27,12,15,44.44,0.946913
0.85,20,200,1.8,1.4,18,1.5,2.5,3.0,1.5,1.5,1,27,12,15,44.44,0.946913
0.85,20,200,1.8,1.4,18,1.5,2.5,4.0,1.5,1.5,1,27,12,15,44.44,0.946913
0.85,20,200,1.8,1.4,22,1.0,2.0,3.0,1.5,1.5,1,26,12,14,46.15,0.965669
0.85,20,200,1.8,1.4,22,1.0,2.0,4.0,1.5,1.5,1,26,12,14,46.15,0.965669
0.85,20,200,1.8,1.4,22,1.0,2.5,3.0,1.5,1.5,1,26,12,14,46.15,0.965669
0.85,20,200,1.8,1.4,22,1.0,2.5,4.0,1.5,1.5,1,26,12,14,46.15,0.965669
0.85,20,200,1.8,1.4,22,1.5,2.0,3.0,1.5,1.5,1,26,12,14,46.15,0.946548
0.85,20,200,1.8,1.4,22,1.5,2.0,4.0,1.5,1.5,1,26,12,14,46.15,0.946548
0.85,20,200,1.8,1.4,22,1.5,2.5,3.0,1.5,1.5,1,26,12,14,46.15,0.946548
0.85,20,200,1.8,1.4,22,1.5,2.5,4.0,1.5,1.5,1,26,12,14,46.15,0.946548
0.85,20,200,1.8,1.6,18,1.0,2.0,3.0,1.5,1.5,1,26,12,14,46.15,0.974915
0.85,20,200,1.8,1.6,18,1.0,2.0,4.0,1.5,1.5,1,26,12,14,46.15,0.974915
0.85,20,200,1.8,1.6,18,1.0,2.5,3.0,1.5,1.5,1,26,12,14,46.15,0.974915
0.85,20,200,1.8,1.6,18,1.0,2.5,4.0,1.5,1.5,1,26,12,14,46.15,0.974915
0.85,20,200,1.8,1.6,18,1.5,2.0,3.0,1.5,1.5,1,26,12,14,46.15,0.955611
0.85,20,200,1.8,1.6,18,1.5,2.0,4.0,1.5,1.5,1,26,12,14,46.15,0.955611
0.85,20,200,1.8,1.6,18,1.5,2.5,3.0,1.5,1.5,1,26,12,14,46.15,0.955611
0.85,20,200,1.8,1.6,18,1.5,2.5,4.0,1.5,1.5,1,26,12,14,46.15,0.955611
0.85,20,200,1.8,1.6,22,1.0,2.0,3.0,1.5,1.5,1,25,12,13,48.0,0.974539
0.85,20,200,1.8,1.6,22,1.0,2.0,4.0,1.5,1.5,1,25,12,13,48.0,0.974539
0.85,20,200,1.8,1.6,22,1.0,2.5,3.0,1.5,1.5,1,25,12,13,48.0,0.974539
0.85,20,200,1.8,1.6,22,1.0,2.5,4.0,1.5,1.5,1,25,12,13,48.0,0.974539
0.85,20,200,1.8,1.6,22,1.5,2.0,3.0,1.5,1.5,1,25,12,13,48.0,0.955242
0.85,20,200,1.8,1.6,22,1.5,2.0,4.0,1.5,1.5,1,25,12,13,48.0,0.955242
0.85,20,200,1.8,1.6,22,1.5,2.5,3.0,1.5,1.5,1,25,12,13,48.0,0.955242
0.85,20,200,1.8,1.6,22,1.5,2.5,4.0,1.5,1.5,1,25,12,13,48.0,0.955242
0.85,50,100,1.6,1.4,18,1.0,2.0,3.0,1.5,1.5,1,34,17,17,50.0,0.994682
0.85,50,100,1.6,1.4,18,1.0,2.0,4.0,1.5,1.5,1,34,17,17,50.0,0.994682
0.85,50,100,1.6,1.4,18,1.0,2.5,3.0,1.5,1.5,1,34,17,17,50.0,0.994682
0.85,50,100,1.6,1.4,18,1.0,2.5,4.0,1.5,1.5,1,34,17,17,50.0,0.994682
0.85,50,100,1.6,1.4,18,1.5,2.0,3.0,1.5,1.5,1,34,17,17,50.0,0.985229
0.85,50,100,1.6,1.4,18,1.5,2.0,4.0,1.5,1.5,1,34,17,17,50.0,0.985229
0.85,50,100,1.6,1.4,18,1.5,2.5,3.0,1.5,1.5,1,34,17,17,50.0,0.985229
0.85,50,100,1.6,1.4,18,1.5,2.5,4.0,1.5,1.5,1,34,17,17,50.0,0.985229
0.85,50,100,1.6,1.4,22,1.0,2.0,3.0,1.5,1.5,1,35,18,17,51.43,1.010712
0.85,50,100,1.6,1.4,22,1.0,2.0,4.0,1.5,1.5,1,35,18,17,51.43,1.010712
0.85,50,100,1.6,1.4,22,1.0,2.5,3.0,1.5,1.5,1,35,18,17,51.43,1.010712
0.85,50,100,1.6,1.4,22,1.0,2.5,4.0,1.5,1.5,1,35,18,17,51.43,1.010712
0.85,50,100,1.6,1.4,22,1.5,2.0,3.0,1.5,1.5,1,35,18,17,51.43,1.001107
0.85,50,100,1.6,1.4,22,1.5,2.0,4.0,1.5,1.5,1,35,18,17,51.43,1.001107
0.85,50,100,1.6,1.4,22,1.5,2.5,3.0,1.5,1.5,1,35,18,17,51.43,1.001107
0.85,50,100,1.6,1.4,22,1.5,2.5,4.0,1.5,1.5,1,35,18,17,51.43,1.001107
0.85,50,100,1.6,1.6,18,1.0,2.0,3.0,1.5,1.5,1,34,17,17,50.0,1.000221
0.85,50,100,1.6,1.6,18,1.0,2.0,4.0,1.5,1.5,1,34,17,17,50.0,1.000221
0.85,50,100,1.6,1.6,18,1.0,2.5,3.0,1.5,1.5,1,34,17,17,50.0,1.000221
0.85,50,100,1.6,1.6,18,1.0,2.5,4.0,1.5,1.5,1,34,17,17,50.0,1.000221
0.85,50,100,1.6,1.6,18,1.5,2.0,3.0,1.5,1.5,1,34,17,17,50.0,0.990716
0.85,50,100,1.6,1.6,18,1.5,2.0,4.0,1.5,1.5,1,34,17,17,50.0,0.990716
0.85,50,100,1.6,1.6,18,1.5,2.5,3.0,1.5,1.5,1,34,17,17,50.0,0.990716
0.85,50,100,1.6,1.6,18,1.5,2.5,4.0,1.5,1.5,1,34,17,17,50.0,0.990716
0.85,50,100,1.6,1.6,22,1.0,2.0,3.0,1.5,1.5,1,35,18,17,51.43,1.016341
0.85,50,100,1.6,1.6,22,1.0,2.0,4.0,1.5,1.5,1,35,18,17,51.43,1.016341
0.85,50,100,1.6,1.6,22,1.0,2.5,3.0,1.5,1.5,1,35,18,17,51.43,1.016341
0.85,50,100,1.6,1.6,22,1.0,2.5,4.0,1.5,1.5,1,35,18,17,51.43,1.016341
0.85,50,100,1.6,1.6,22,1.5,2.0,3.0,1.5,1.5,1,35,18,17,51.43,1.006683
0.85,50,100,1.6,1.6,22,1.5,2.0,4.0,1.5,1.5,1,35,18,17,51.43,1.006683
0.85,50,100,1.6,1.6,22,1.5,2.5,3.0,1.5,1.5,1,35,18,17,51.43,1.006683
0.85,50,100,1.6,1.6,22,1.5,2.5,4.0,1.5,1.5,1,35,18,17,51.43,1.006683
0.85,50,100,1.8,1.4,18,1.0,2.0,3.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,18,1.0,2.0,4.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,18,1.0,2.5,3.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,18,1.0,2.5,4.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,18,1.5,2.0,3.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,18,1.5,2.0,4.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,18,1.5,2.5,3.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,18,1.5,2.5,4.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,22,1.0,2.0,3.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,22,1.0,2.0,4.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,22,1.0,2.5,3.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,22,1.0,2.5,4.0,1.5,1.5,1,27,11,16,40.74,0.961127
0.85,50,100,1.8,1.4,22,1.5,2.0,3.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,22,1.5,2.0,4.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,22,1.5,2.5,3.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.4,22,1.5,2.5,4.0,1.5,1.5,1,27,11,16,40.74,0.942096
0.85,50,100,1.8,1.6,18,1.0,2.0,3.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,18,1.0,2.0,4.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,18,1.0,2.5,3.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,18,1.0,2.5,4.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,18,1.5,2.0,3.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,18,1.5,2.0,4.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,18,1.5,2.5,3.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,18,1.5,2.5,4.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,22,1.0,2.0,3.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,22,1.0,2.0,4.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,22,1.0,2.5,3.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,22,1.0,2.5,4.0,1.5,1.5,1,26,11,15,42.31,0.969956
0.85,50,100,1.8,1.6,22,1.5,2.0,3.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,22,1.5,2.0,4.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,22,1.5,2.5,3.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,100,1.8,1.6,22,1.5,2.5,4.0,1.5,1.5,1,26,11,15,42.31,0.95075
0.85,50,200,1.6,1.4,18,1.0,2.0,3.0,1.5,1.5,1,33,18,15,54.55,1.004444
0.85,50,200,1.6,1.4,18,1.0,2.0,4.0,1.5,1.5,1,33,18,15,54.55,1.004444
0.85,50,200,1.6,1.4,18,1.0,2.5,3.0,1.5,1.5,1,33,18,15,54.55,1.004444
0.85,50,200,1.6,1.4,18,1.0,2.5,4.0,1.5,1.5,1,33,18,15,54.55,1.004444
0.85,50,200,1.6,1.4,18,1.5,2.0,3.0,1.5,1.5,1,33,18,15,54.55,0.994899
0.85,50,200,1.6,1.4,18,1.5,2.0,4.0,1.5,1.5,1,33,18,15,54.55,0.994899
0.85,50,200,1.6,1.4,18,1.5,2.5,3.0,1.5,1.5,1,33,18,15,54.55,0.994899
0.85,50,200,1.6,1.4,18,1.5,2.5,4.0,1.5,1.5,1,33,18,15,54.55,0.994899
0.85,50,200,1.6,1.4,22,1.0,2.0,3.0,1.5,1.5,1,32,17,15,53.12,1.012474
0.85,50,200,1.6,1.4,22,1.0,2.0,4.0,1.5,1.5,1,32,17,15,53.12,1.012474
0.85,50,200,1.6,1.4,22,1.0,2.5,3.0,1.5,1.5,1,32,17,15,53.12,1.012474
0.85,50,200,1.6,1.4,22,1.0,2.5,4.0,1.5,1.5,1,32,17,15,53.12,1.012474
0.85,50,200,1.6,1.4,22,1.5,2.0,3.0,1.5,1.5,1,32,17,15,53.12,1.002852
0.85,50,200,1.6,1.4,22,1.5,2.0,4.0,1.5,1.5,1,32,17,15,53.12,1.002852
0.85,50,200,1.6,1.4,22,1.5,2.5,3.0,1.5,1.5,1,32,17,15,53.12,1.002852
0.85,50,200,1.6,1.4,22,1.5,2.5,4.0,1.5,1.5,1,32,17,15,53.12,1.002852
0.85,50,200,1.6,1.6,18,1.0,2.0,3.0,1.5,1.5,1,33,18,15,54.55,1.010038
0.85,50,200,1.6,1.6,18,1.0,2.0,4.0,1.5,1.5,1,33,18,15,54.55,1.010038
0.85,50,200,1.6,1.6,18,1.0,2.5,3.0,1.5,1.5,1,33,18,15,54.55,1.010038
